# SELECT * FROM "vid_lists" WHERE "reference" = 'https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18' ORDER BY "createdAt" LIMIT 100 (0.002 s)
url,id,title,downloaded,available,reference,createdAt,updatedAt
https://www.youtube.com/watch?v=WZ_1-5fRUmo,WZ_1-5fRUmo,Epic Seven - 3-man ONE-SHOT BANSHEE 13 with ERVALEN (Can he do it?!!),f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=Rubb0Q0RV10,Rubb0Q0RV10,Epic Seven - 1min run WYVERN 13 with HASTE!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=RffM5fDzMHg,RffM5fDzMHg,Epic Seven - ONE-SHOT HUNTS with VIVIAN & LEO!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=QGjIiLMlMIo,QGjIiLMlMIo,Epic Seven - GOLEM 13 DAGGER SICAR MISSSIONS (2-man G13/G13 without Warrior/Soul Weaver),f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=jgl464CzHdw,jgl464CzHdw,Epic Seven - WYVERN 13 3-man F2P TEAM (A typical day in W13 farming)!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=7JhpT55ZDTA,7JhpT55ZDTA,Epic Seven - 1-SHOT BANSHEE 13 with CHARLES!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=1bgw6lgPSyQ,1bgw6lgPSyQ,Epic Seven - GOLEM 13 & AZIMANAK 13 1min run with ERVALEN!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
https://www.youtube.com/watch?v=zFbk3WMAzMo,zFbk3WMAzMo,1-SHOT BANSHEE 13 in 36 SEC!!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.537+00,2023-02-16 11:36:00.537+00
https://www.youtube.com/watch?v=unOV2VZjW-k,unOV2VZjW-k,BEST ICE DPS for WYVERN 13?!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.547+00,2023-02-16 11:36:00.547+00
https://www.youtube.com/watch?v=Rfgo9gI69cY,Rfgo9gI69cY,1min run WYVERN 13 with LUNA?!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.865+00,2023-02-16 11:36:00.865+00
https://www.youtube.com/watch?v=8XhKOTbHgq4,8XhKOTbHgq4,CAIDES 13 in 58 SEC (FAST-RUN) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.873+00,2023-02-16 11:36:00.873+00
https://www.youtube.com/watch?v=f-dXjg9iJHs,f-dXjg9iJHs,1-SHOT W13 with KARIN (HER EE IS REALLY GOOD!!!) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.875+00,2023-02-16 11:36:00.875+00
https://www.youtube.com/watch?v=s7lKyH7piAs,s7lKyH7piAs,1min run BANSHEE 13 with 2-woman!!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.88+00,2023-02-16 11:36:00.88+00
https://www.youtube.com/watch?v=Rgxwku40F5I,Rgxwku40F5I,CAIDES 13 SAFE TEAM (3-4 min run!!!) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:00.918+00,2023-02-16 11:36:00.918+00
https://www.youtube.com/watch?v=RyPF5KCoTeI,RyPF5KCoTeI,1min run WYVERN 13 with RAN!!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.049+00,2023-02-16 11:36:01.049+00
